datetime,toimipiste,aikaryhman,aikaryhma,laakari,RESURSSI,ETNS,ETNS_A,kesto_min,ETNS_B,tyhja
2024-01-01 08:00,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-01 08:20,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-01 08:40,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,60,1,1
2024-01-01 09:40,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,30,1,1
2024-01-01 10:10,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-01 10:30,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-01 10:50,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-01 11:10,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-01 11:30,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,0
2024-01-01 11:50,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,30,1,0
2024-01-01 12:20,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,30,1,1
2024-01-01 12:50,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-01 13:10,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,0
2024-01-01 13:30,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-01 13:50,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,Obstetrics,1,60,1,0
2024-01-01 14:50,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,0
2024-01-01 15:10,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,0
2024-01-01 15:30,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,Obstetrics,1,20,1,1
2024-01-01 12:00,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,0
2024-01-01 12:20,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 12:40,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,0
2024-01-01 13:00,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 13:20,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Sports Medicine,1,30,1,0
2024-01-01 13:50,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Sports Medicine,1,30,1,0
2024-01-01 14:20,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 14:40,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 15:00,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,0
2024-01-01 15:20,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 15:40,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 16:00,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 16:20,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Sports Medicine,1,60,1,0
2024-01-01 17:20,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,0
2024-01-01 17:40,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 18:00,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 18:20,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 18:40,Lääkäriasema Koski,In-person appointment,IA,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,0
2024-01-01 19:00,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 19:20,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,0
2024-01-01 19:40,Lääkäriasema Koski,Remote consultation,RC,Dr. C,Orthopedic surgeon,Sports Medicine,1,20,1,1
2024-01-01 09:00,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,30,1,1
2024-01-01 09:30,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,0
2024-01-01 09:50,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,30,1,0
2024-01-01 10:20,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,60,1,1
2024-01-01 11:20,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-01 11:40,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,30,1,1
2024-01-01 12:10,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-01 12:30,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,0
2024-01-01 12:50,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-01 13:10,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,20,1,0
2024-01-01 13:30,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-01 13:50,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-01 14:10,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,30,1,1
2024-01-01 14:40,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-01 15:00,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-01 15:20,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-01 15:40,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,30,1,1
2024-01-01 16:10,Lääkäriasema Koski,Remote consultation,RC,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-01 16:30,Lääkäriasema Koski,In-person appointment,IA,Dr. E,Gynecology,General Gynecology,1,20,1,1
2024-01-02 08:00,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,General Gynecology,1,30,1,0
2024-01-02 08:30,Lääkäriasema Koski,In-person appointment,IA,Dr. A,Gynecology,General Gynecology,1,30,1,1
2024-01-02 09:00,Lääkäriasema Koski,Remote consultation,RC,Dr. A,Gynecology,General Gynecology,1,20,1,1
